1.666667   0.300000 
 1.7066518e+00    1.1996841e+00    4.1227782e-03 
 1.7157297e+00    1.1996563e+00    4.0055302e-03 
 1.7248076e+00    1.1996039e+00    3.8902083e-03 
 1.7338856e+00    1.1995273e+00    3.7768039e-03 
 1.7429635e+00    1.1994267e+00    3.6653083e-03 
 1.7520414e+00    1.1993025e+00    3.5557123e-03 
 1.7611194e+00    1.1991550e+00    3.4480064e-03 
 1.7701973e+00    1.1989846e+00    3.3421806e-03 
 1.7792752e+00    1.1987915e+00    3.2382245e-03 
 1.7883532e+00    1.1985761e+00    3.1361277e-03 
 1.7974311e+00    1.1983388e+00    3.0358792e-03 
 1.8065090e+00    1.1980799e+00    2.9374677e-03 
 1.8155870e+00    1.1977999e+00    2.8408818e-03 
 1.8246649e+00    1.1974990e+00    2.7461098e-03 
 1.8337429e+00    1.1971776e+00    2.6531397e-03 
 1.8428208e+00    1.1968362e+00    2.5619593e-03 
 1.8518987e+00    1.1964751e+00    2.4725562e-03 
 1.8609767e+00    1.1960948e+00    2.3849178e-03 
 1.8700546e+00    1.1956956e+00    2.2990316e-03 
 1.8791325e+00    1.1952778e+00    2.2148844e-03 
 1.8882105e+00    1.1948421e+00    2.1324635e-03 
 1.8972884e+00    1.1943886e+00    2.0517557e-03 
 1.9063663e+00    1.1939179e+00    1.9727478e-03 
 1.9154443e+00    1.1934304e+00    1.8954267e-03 
 1.9245222e+00    1.1929264e+00    1.8197789e-03 
 1.9336001e+00    1.1924065e+00    1.7457913e-03 
 1.9426781e+00    1.1918710e+00    1.6734505e-03 
 1.9517560e+00    1.1913203e+00    1.6027433e-03 
 1.9608339e+00    1.1907549e+00    1.5336563e-03 
 1.9699119e+00    1.1901753e+00    1.4661765e-03 
 1.9789898e+00    1.1895817e+00    1.4002907e-03 
 1.9880677e+00    1.1889747e+00    1.3359859e-03 
 1.9971457e+00    1.1883547e+00    1.2732493e-03 
 2.0062236e+00    1.1877221e+00    1.2120681e-03 
 2.0153016e+00    1.1870774e+00    1.1524300e-03 
 2.0243795e+00    1.1864210e+00    1.0943225e-03 
 2.0334574e+00    1.1857532e+00    1.0377336e-03 
 2.0425354e+00    1.1850747e+00    9.8265155e-04 
 2.0516133e+00    1.1843857e+00    9.2906489e-04 
 2.0606912e+00    1.1836867e+00    8.7696250e-04 
 2.0697692e+00    1.1829781e+00    8.2633365e-04 
 2.0788471e+00    1.1822605e+00    7.7716806e-04 
 2.0879250e+00    1.1815341e+00    7.2945592e-04 
 2.0970030e+00    1.1807995e+00    6.8318798e-04 
 2.1060809e+00    1.1800570e+00    6.3835555e-04 
 2.1151588e+00    1.1793072e+00    5.9495065e-04 
 2.1242368e+00    1.1785504e+00    5.5296603e-04 
 2.1333147e+00    1.1777870e+00    5.1239528e-04 
 2.1423926e+00    1.1770176e+00    4.7323292e-04 
 2.1514706e+00    1.1762425e+00    4.3547454e-04 
 2.1605485e+00    1.1754621e+00    3.9911692e-04 
 2.1696264e+00    1.1746770e+00    3.6415821e-04 
 2.1787044e+00    1.1738876e+00    3.3059814e-04 
 2.1877823e+00    1.1730942e+00    2.9843824e-04 
 2.1968603e+00    1.1722973e+00    2.6768213e-04 
 2.2059382e+00    1.1714975e+00    2.3833592e-04 
 2.2150161e+00    1.1706951e+00    2.1040866e-04 
 2.2240941e+00    1.1698906e+00    1.8391294e-04 
 2.2331720e+00    1.1690845e+00    1.5886565e-04 
 2.2422499e+00    1.1682772e+00    1.3528905e-04 
 2.2513279e+00    1.1674693e+00    1.1321219e-04 
 2.2604058e+00    1.1666613e+00    9.2672962e-05 
 2.2694837e+00    1.1658536e+00    7.3721027e-05 
 2.2785617e+00    1.1650469e+00    5.6422458e-05 
 2.2876396e+00    1.1642417e+00    4.0867241e-05 
 2.2967175e+00    1.1634387e+00    2.7182588e-05 
 2.3057955e+00    1.1626386e+00    1.5559280e-05 
 2.3148734e+00    1.1618421e+00    6.3125481e-06 
 2.3239513e+00    1.1610502e+00    0.0000000e+00 
